epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,3042.41,1.02135,0.67443,0.01513,0.8667,0.82814,0.87472,0.66344,1.04989,0.45291,0.0235,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,3086.37,1.01537,0.66245,0.01497,0.86016,0.86051,0.88182,0.66786,1.04834,0.45487,0.02338,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,3130.29,1.01669,0.6574,0.01504,0.88029,0.84606,0.89437,0.6774,1.04203,0.45489,0.02327,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,3173.88,1.01944,0.66388,0.0151,0.89313,0.82593,0.90044,0.68339,1.03893,0.44819,0.02328,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,3217.55,1.00106,0.64283,0.01486,0.90112,0.84426,0.90527,0.69566,1.03978,0.44294,0.02327,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,3260.91,0.99219,0.63506,0.01479,0.86856,0.85969,0.90425,0.69524,1.03328,0.44508,0.02318,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,3304.18,1.00127,0.63645,0.01495,0.91928,0.84355,0.90673,0.69587,1.03749,0.4375,0.02331,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,3348.08,0.99688,0.64077,0.01468,0.85311,0.87761,0.90947,0.6968,1.03603,0.43474,0.0232,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,3391.77,0.99483,0.63735,0.01479,0.93003,0.83849,0.91308,0.69743,1.03443,0.44533,0.02312,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,3435.54,0.98246,0.62346,0.01478,0.9343,0.81969,0.90577,0.69049,1.03691,0.45055,0.02325,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,3479.05,0.98025,0.62295,0.01454,0.91657,0.84365,0.90281,0.69239,1.02985,0.4547,0.02297,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,3522.83,0.9756,0.62162,0.01452,0.93141,0.83683,0.90044,0.68638,1.03033,0.45244,0.02297,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,3565.4,0.97069,0.61146,0.01452,0.92173,0.83856,0.90312,0.68994,1.0321,0.44867,0.02303,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,3608.83,0.96859,0.61885,0.01442,0.91358,0.81527,0.89998,0.68609,1.03277,0.4537,0.02307,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,3652.16,0.97105,0.59875,0.01425,0.83675,0.87066,0.89809,0.68512,1.03043,0.45916,0.02294,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,3695.33,0.96676,0.60853,0.01411,0.8332,0.87299,0.8974,0.68703,1.02978,0.45553,0.02292,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,3738.43,0.96363,0.59903,0.01416,0.87463,0.83328,0.89414,0.68388,1.03227,0.44589,0.02297,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,3781.88,0.95805,0.60372,0.01404,0.88491,0.83595,0.89599,0.68178,1.03463,0.44709,0.02303,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,3825.06,0.94558,0.59423,0.01409,0.89281,0.82712,0.89674,0.68482,1.03384,0.44441,0.02303,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,3868.75,0.95082,0.59084,0.01394,0.87187,0.8382,0.89522,0.68171,1.03773,0.4409,0.02316,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,3912.47,0.94263,0.58766,0.01382,0.85752,0.84023,0.89226,0.68115,1.03641,0.44442,0.02317,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,3956.13,0.93753,0.59533,0.01381,0.8632,0.82094,0.8882,0.67742,1.03707,0.43692,0.02316,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,3999.69,0.93849,0.57644,0.01388,0.86176,0.83211,0.89418,0.68516,1.03286,0.43566,0.02307,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,4043.84,0.93165,0.58632,0.0138,0.88463,0.8275,0.89674,0.68706,1.03007,0.43847,0.02299,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,4087.47,0.92974,0.57544,0.01373,0.89342,0.81758,0.89175,0.68293,1.02974,0.43783,0.023,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,4130.85,0.92937,0.58929,0.01367,0.8767,0.84317,0.89506,0.68573,1.02949,0.44242,0.02302,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,4174.36,0.91447,0.56613,0.01342,0.86979,0.84753,0.89534,0.68521,1.02901,0.43969,0.02301,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,4217.57,0.91417,0.56409,0.01338,0.89248,0.83098,0.8935,0.68538,1.02833,0.43859,0.02299,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,4260.88,0.91976,0.57564,0.01339,0.90973,0.7994,0.89159,0.68277,1.02828,0.43938,0.02299,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
